term1;term2;error_degree;weight;eq_id;eq_size;community
116662060;http://als.dbpedia.org/resource/Barack_Obama;http://cy.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662061;http://als.dbpedia.org/resource/Barack_Obama;http://da.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662062;http://als.dbpedia.org/resource/Barack_Obama;http://dbpedia.org/resource/Barack_Obama;0.49;2;5723;14916;0-3
116662063;http://als.dbpedia.org/resource/Barack_Obama;http://de.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662064;http://als.dbpedia.org/resource/Barack_Obama;http://diq.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662065;http://als.dbpedia.org/resource/Barack_Obama;http://el.dbpedia.org/resource/Μπαράκ_Ομπάμα;0.24;2;5723;14916;0
116662066;http://als.dbpedia.org/resource/Barack_Obama;http://eo.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662067;http://als.dbpedia.org/resource/Barack_Obama;http://es.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662068;http://als.dbpedia.org/resource/Barack_Obama;http://et.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662069;http://als.dbpedia.org/resource/Barack_Obama;http://eu.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662070;http://als.dbpedia.org/resource/Barack_Obama;http://fa.dbpedia.org/resource/باراک_اوباما;0.24;2;5723;14916;0
116662071;http://als.dbpedia.org/resource/Barack_Obama;http://fi.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662072;http://als.dbpedia.org/resource/Barack_Obama;http://fr.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662073;http://als.dbpedia.org/resource/Barack_Obama;http://fy.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662074;http://als.dbpedia.org/resource/Barack_Obama;http://ga.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662075;http://als.dbpedia.org/resource/Barack_Obama;http://gd.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662076;http://als.dbpedia.org/resource/Barack_Obama;http://gl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662077;http://als.dbpedia.org/resource/Barack_Obama;http://he.dbpedia.org/resource/ברק_אובמה;0.24;2;5723;14916;0
116662078;http://als.dbpedia.org/resource/Barack_Obama;http://hi.dbpedia.org/resource/बराक_ओबामा;0.24;2;5723;14916;0
116662079;http://als.dbpedia.org/resource/Barack_Obama;http://hr.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662080;http://als.dbpedia.org/resource/Barack_Obama;http://ht.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662081;http://als.dbpedia.org/resource/Barack_Obama;http://hu.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662082;http://als.dbpedia.org/resource/Barack_Obama;http://hy.dbpedia.org/resource/Բարաք_Օբամա;0.24;2;5723;14916;0
116662083;http://als.dbpedia.org/resource/Barack_Obama;http://ia.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662084;http://als.dbpedia.org/resource/Barack_Obama;http://id.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662085;http://als.dbpedia.org/resource/Barack_Obama;http://io.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662086;http://als.dbpedia.org/resource/Barack_Obama;http://is.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662087;http://als.dbpedia.org/resource/Barack_Obama;http://it.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662088;http://als.dbpedia.org/resource/Barack_Obama;http://ja.dbpedia.org/resource/バラク・オバマ;0.24;2;5723;14916;0
116662089;http://als.dbpedia.org/resource/Barack_Obama;http://jv.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662090;http://als.dbpedia.org/resource/Barack_Obama;http://ka.dbpedia.org/resource/ბარაკ_ობამა;0.24;2;5723;14916;0
116662091;http://als.dbpedia.org/resource/Barack_Obama;http://kk.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662092;http://als.dbpedia.org/resource/Barack_Obama;http://kn.dbpedia.org/resource/ಬರಾಕ್_ಒಬಾಮ;0.24;2;5723;14916;0
116662093;http://als.dbpedia.org/resource/Barack_Obama;http://ko.dbpedia.org/resource/버락_오바마;0.24;2;5723;14916;0
116662094;http://als.dbpedia.org/resource/Barack_Obama;http://ku.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662095;http://als.dbpedia.org/resource/Barack_Obama;http://ky.dbpedia.org/resource/Барак_Хусеин_Обама;0.24;2;5723;14916;0
116662096;http://als.dbpedia.org/resource/Barack_Obama;http://la.dbpedia.org/resource/Baracus_Obama;0.24;2;5723;14916;0
116662097;http://als.dbpedia.org/resource/Barack_Obama;http://lb.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662098;http://als.dbpedia.org/resource/Barack_Obama;http://lmo.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662099;http://als.dbpedia.org/resource/Barack_Obama;http://lt.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662100;http://als.dbpedia.org/resource/Barack_Obama;http://lv.dbpedia.org/resource/Baraks_Obama;0.24;2;5723;14916;0
116662101;http://als.dbpedia.org/resource/Barack_Obama;http://map-bms.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662102;http://als.dbpedia.org/resource/Barack_Obama;http://mg.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662103;http://als.dbpedia.org/resource/Barack_Obama;http://mk.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662104;http://als.dbpedia.org/resource/Barack_Obama;http://ml.dbpedia.org/resource/ബറാക്ക്_ഒബാമ;0.24;2;5723;14916;0
116662105;http://als.dbpedia.org/resource/Barack_Obama;http://mr.dbpedia.org/resource/बराक_ओबामा;0.24;2;5723;14916;0
116662106;http://als.dbpedia.org/resource/Barack_Obama;http://ms.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662107;http://als.dbpedia.org/resource/Barack_Obama;http://my.dbpedia.org/resource/ဘာရက်_အိုဘားမား;0.24;2;5723;14916;0
116662108;http://als.dbpedia.org/resource/Barack_Obama;http://my.dbpedia.org/resource/ဘာရတ်အိုဘားမား;0.24;2;5723;14916;0
116662109;http://als.dbpedia.org/resource/Barack_Obama;http://mzn.dbpedia.org/resource/باراک_اوباما;0.24;2;5723;14916;0
116662110;http://als.dbpedia.org/resource/Barack_Obama;http://nap.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662111;http://als.dbpedia.org/resource/Barack_Obama;http://nds.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662112;http://als.dbpedia.org/resource/Barack_Obama;http://ne.dbpedia.org/resource/बाराक_ओबामा;0.24;2;5723;14916;0
116662113;http://als.dbpedia.org/resource/Barack_Obama;http://nl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662114;http://als.dbpedia.org/resource/Barack_Obama;http://nn.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662115;http://als.dbpedia.org/resource/Barack_Obama;http://no.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
